1	Novak Djokovic 	30	28	2	0.933	1	0
2	Dominic Thiem 	36	27	9	0.750	2	0
3	Kei Nishikori 	30	23	7	0.767	2	0
4	Rafael Nadal 	28	22	6	0.786	3	0
5	Milos Raonic 	25	21	4	0.840	1	2
6	Gael Monfils 	27	21	6	0.778	1	1
7	Roberto Bautista Agut 	29	21	8	0.724	1	2
8	Philipp Kohlschreiber 	28	19	9	0.679	1	0
9	David Goffin 	28	19	9	0.679	1	1
10	Federico Delbonis 	29	19	10	0.655	1	1
11	Grigor Dimitrov 	27	18	9	0.667	0	1
12	Stan Wawrinka 	22	17	5	0.773	0	0
13	Nick Kyrgios 	22	17	5	0.773	1	0
14	Pablo Cuevas 	24	17	7	0.708	1	0
15	Tomas Berdych 	24	16	8	0.667	2	0
16	Alexander Zverev 	27	16	11	0.593	0	1
17	Sam Querrey 	22	15	7	0.682	1	0
18	Andrey Kuznetsov 	23	15	8	0.652	2	0
19	Viktor Troicki 	26	15	11	0.577	1	0
20	Pablo Carreno Busta 	27	15	12	0.556	1	2
21	Jo-Wilfried Tsonga 	21	14	7	0.667	0	0
22	Fernando Verdasco 	22	14	8	0.636	1	1
23	Bernard Tomic 	25	14	11	0.560	0	0
24	Benoit Paire 	28	14	14	0.500	0	2
25	Andy Murray 	17	13	4	0.765	2	0
26	David Ferrer 	20	13	7	0.650	0	0
27	Alexandr Dolgopolov 	20	13	7	0.650	1	1
28	Gilles Simon 	22	13	9	0.591	2	0
29	Damir Dzumhur 	24	13	11	0.542	2	3
30	Borna Coric 	25	13	12	0.520	0	0
31	Richard Gasquet 	16	12	4	0.750	2	1
32	Lucas Pouille 	20	12	8	0.600	0	1
33	Marin Cilic 	20	12	8	0.600	0	0
34	Nicolas Almagro 	21	12	9	0.571	0	1
35	Feliciano Lopez 	22	12	10	0.545	1	1
36	Paolo Lorenzi 	22	12	10	0.545	3	1
37	Guillermo Garcia-Lopez 	25	12	13	0.480	0	0
38	Jack Sock  18	11	7	0.611	1	1
39	Albert Ramos-Vinolas 	24	11	13	0.458	3	0
40	Roger Federer 	13	10	3	0.769	0	0
